,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18,comp19,comp20,comp21,comp22,comp23,comp24
Life expectancy at birth,0.818710312322875,0.8267854077267995,0.8268246107221353,0.8271627894263137,0.8320498295114857,0.8355141802106566,0.8433930042300768,0.8434837069851612,0.8801134206984824,0.8804472653701136,0.8808007248943235,0.8837302970685152,0.8843205639173033,0.8844418389562998,0.885595109483005,0.8899831584782153,0.8941318339260974,0.9307371941560129,0.9971103211037343,0.9999483516111662,0.9999999238378496,1.0000000000000024,1.0000000000000024,1.0000000000000024
"Literacy rate, adult",0.6830121577809062,0.7592864028844208,0.76863824482832,0.8634423889425136,0.8666561253995231,0.872024935754747,0.8788143846667641,0.8798274050712834,0.8965725692963323,0.9038231458370944,0.9049600079503075,0.9095452942332422,0.9098532151204732,0.9658394066569242,0.985216924541794,0.9852171230924761,0.9894708555327344,0.9911574124803907,0.9912808128312726,0.9913532252660713,0.9999999948964389,1.0000000000000022,1.0000000000000022,1.0000000000000022
Literacy rate youth ,0.7170685360902316,0.745889322529399,0.7483266391295481,0.881646418476765,0.883449654719417,0.8858024228148371,0.8863962006584687,0.8878809693103826,0.9016265031076115,0.9068665634730511,0.9137819695202732,0.9168608547118633,0.9170352241792648,0.9650550393348387,0.9870973966743042,0.9871685114701086,0.9894143594896654,0.9895810672849856,0.9900113867567991,0.990812856992152,0.9999999348580003,1.0000000000000009,1.0000000000000009,1.0000000000000009
"Population, female ",3.801706820011142e-05,0.23664550525918843,0.2554512746828101,0.275839126100936,0.7208140975376609,0.7378240922661679,0.8727999357359477,0.8847828078951978,0.9378877581250754,0.9650753938572626,0.9722571663199445,0.9758236167657774,0.9769694536720509,0.9776933464088093,0.9828924856595525,0.9919261729418771,0.9920285904458802,0.9926094255370437,0.9927258929777482,0.9999880537736368,0.999999980958373,1.0000000000000007,1.0000000000000007,1.0000000000000007
Prevalence of HIV ,0.10262406413256976,0.10665033746079441,0.20804037823243027,0.37006913247889583,0.5737827731882188,0.578603651734496,0.8179115586594726,0.8435430267858104,0.9512472937225762,0.9516352940650322,0.9528485665735686,0.9599205783055013,0.9615485780807518,0.967039439637813,0.9768756613759966,0.9823390232911204,0.988181066052735,0.9997651084148725,0.999914822595885,0.9999999879054755,0.9999999977471212,0.9999999999999998,0.9999999999999998,0.9999999999999998
Primary completion rate,0.637390027505765,0.6404381072045163,0.6410410620142681,0.7001159628649098,0.7006470981607597,0.705557417317267,0.7232938651990278,0.7368387304082039,0.7371460759710246,0.7679944444321966,0.8454546198986608,0.8746430184122627,0.8786991443521891,0.8959077985676939,0.9645000432937152,0.9670134635699513,0.9684680090307607,0.9901055396760902,0.9999891666111457,0.9999897851382947,0.9999999668466567,1.0000000000000009,1.0000000000000009,1.0000000000000009
Proportion of seats held by women in national parliaments,0.050304843041233,0.2000531826413573,0.23291261783596906,0.24846290820462133,0.25063951797246914,0.6228638685692955,0.6363749493540295,0.9770509534177036,0.9784230452357916,0.9825100683907577,0.9831814897836336,0.9898034099444359,0.9903326203935418,0.9904211386983977,0.990440056473854,0.99834256489945,0.9999074160498679,0.9999593816944328,0.9999735790494781,0.9999987345406878,0.99999997009407,1.0000000000000004,1.0000000000000004,1.0000000000000004
Self-employed,0.8374750450038082,0.8501964339137543,0.8703241430512569,0.9364485783609449,0.936450429186382,0.9364543890142061,0.9409744127544138,0.942414923576081,0.9523879531541463,0.9638317742911028,0.9724358699869259,0.9743154893987859,0.9743254709219827,0.9781267913481746,0.9790389859343055,0.9820749774581864,0.9922088322830551,0.9989719638265666,0.9998106895136362,0.9998363425228936,0.9998393494242876,0.9999999981563236,0.9999999981566161,1.0000000000000016
Start-up procedures to register a business,0.10672462005769105,0.1542930161980356,0.5558797300102212,0.6834517671785245,0.6837893031551683,0.6839159238571536,0.7641292606009198,0.7774770413226872,0.8103232560337081,0.8292091420759139,0.8378469271263093,0.9157151502419224,0.9642676056264381,0.9649423008743545,0.9685299528618542,0.9956836869406681,0.995709408403018,0.9989970557161306,0.9999368839823283,0.9999984495774334,0.9999999280575157,1.0000000000000027,1.0000000000000027,1.0000000000000027
Time required to start a business,0.052425032504495296,0.06293246525973933,0.4926523960309072,0.7626537450377544,0.7659183068808627,0.7669159286334822,0.7887513252819465,0.7895446135630909,0.8019669604156534,0.8023095048276846,0.8192077434509466,0.8203957481278583,0.9740851952576539,0.974899390814981,0.984967676694777,0.9988165715278086,0.9988272554051271,0.9994184122856958,0.9999981645812536,0.9999999243440404,0.9999999593701987,1.0000000000000022,1.0000000000000022,1.0000000000000022
"Unemployment, female",0.001537982259867514,0.34537457012031897,0.48886605948608025,0.5678710905996601,0.7315237584178361,0.7843281317629167,0.8168908769593038,0.8333896339195391,0.8526748446826337,0.8983514269503197,0.9030679987911386,0.9036288554274502,0.9077033039743786,0.9238698906766509,0.9712620122224286,0.9859680382192362,0.9943140074424297,0.9967531554733736,0.9996206297123874,0.9999979680670754,0.9999999758609294,1.000000000000001,1.000000000000001,1.000000000000001
Vulnerable employment,0.8422250155021915,0.8535004007368643,0.8755955975217163,0.9424400365321773,0.9424438146562447,0.9424439045124557,0.9465995249429952,0.9475944202806222,0.9569819093116858,0.966796784925042,0.9746472710270933,0.9757710045215401,0.9757881368001312,0.9797483914010092,0.9804791089607835,0.9830226856363419,0.9927479842969131,0.9985139057279994,0.9993073672541978,0.9993104916864232,0.9993200088523176,1.0000000000000009,1.0000000000000009,1.0000000000000009
Wage and salaried workers,0.83747584565363,0.8501992944919972,0.8703267631499831,0.9364500269393392,0.9364518722038149,0.9364557912365404,0.9409755871436034,0.942415217343948,0.9523880406890521,0.9638299408455834,0.9724341590036647,0.9743139593784178,0.9743239816703185,0.9781245985295062,0.9790368583994455,0.9820736339877959,0.9922087855452566,0.9989714996883463,0.9998108003717998,0.9998363712821349,0.9998393921739225,0.9999999981561822,0.9999999981564778,1.0000000000000027
